26,14,7,4,93,70,82,31,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,52,64,30,9,34,89,23,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,81,63,13,94,43,97,3,49,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,94,85,3,20,97,86,95,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4,9,31,16,94,54,58,92,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,29,61,43,72,27,85,3,100,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,65,88,35,8,38,5,10,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,100,97,83,94,59,87,54,76,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,80,68,20,57,47,32,10,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,81,13,2,84,88,72,22,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,20,33,38,81,34,26,91,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6,40,66,99,16,13,37,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,20,64,68,58,89,39,70,59,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,32,42,20,45,72,69,39,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,10,24,25,34,37,13,23,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,15,17,1,22,23,29,99,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6,44,29,31,54,15,42,64,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,27,51,65,12,3,78,29,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,38,80,44,26,53,96,55,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,83,6,60,11,39,54,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,65,38,55,26,5,40,96,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,86,15,45,21,69,98,73,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,74,91,70,28,73,50,45,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,57,83,71,39,37,96,31,66,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,90,74,71,17,92,83,97,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,45,11,55,53,54,84,16,73,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,22,20,25,74,99,7,6,10,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,88,38,64,79,96,90,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,14,4,48,62,27,56,32,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,72,81,45,51,73,37,26,95,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,39,74,76,61,91,73,55,34,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,33,36,68,6,40,46,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,36,33,15,8,9,98,29,70,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,55,54,14,71,35,17,92,85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,82,28,76,74,29,44,63,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,19,51,47,78,40,13,8,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,46,41,59,18,31,23,63,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,65,72,47,45,6,69,78,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,33,60,36,34,70,61,9,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,92,43,95,29,11,96,53,54,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12,19,69,86,41,23,55,37,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,25,5,8,45,55,79,10,66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,54,9,2,47,63,66,53,72,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,34,29,21,59,48,7,15,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,75,58,36,25,90,66,46,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,13,26,4,53,98,100,32,20,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,56,43,90,47,21,40,16,89,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,98,96,67,20,86,82,33,41,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,51,77,97,3,12,8,95,90,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,89,21,98,74,95,99,26,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,16,70,23,7,50,4,68,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,30,60,19,40,18,28,70,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,88,27,19,15,57,1,55,14,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,24,31,23,48,10,30,71,19,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,99,98,16,43,82,88,83,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,48,76,90,84,26,35,14,33,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,32,71,5,42,59,28,24,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,73,48,81,2,4,52,75,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,62,93,18,70,44,50,29,96,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
