e5,e10,e47,e68,e7,e73,e48,e84,e88,e32,e23,e82,e55,e71,e64,e29,e35,e43,e53,e57,e19,e21,e99,e49,e6,e97,-1,e66,e93,e81,e8,e78,e30,e16,e98,e45,-1,e39,e96,e17,e28,e77,e37,e89,e26,e1,e90,e14,e80,-1,e42,e62,e100,e58,e22,e50,e9,e25,e92,e75,e33,e31,e36,e20,e4,e41,e27,e87,e18,e59,e61,e2,e15,e69,e44,e79,e34,e94,e86,e12,e13,e11,e85,e51,e67,e40,e54,e70,e83,e76,e74,e56,e24,e38,e91,e52,e46,e60,e63,e65,e72,e3,e95,,,,,,,,,,,,,,,,,,,
e42,e12,e93,e13,e32,e77,e38,e90,e46,e51,e87,e18,e74,e78,e60,e49,e79,e72,e84,e44,e6,e82,e47,e20,e34,e26,e50,e4,e92,e25,e56,e73,e83,e19,e8,e75,e76,e57,e67,e91,e69,e63,e41,e68,e94,e45,e52,e40,e70,e95,e11,e29,e35,e85,e17,e21,e33,e55,e48,e53,e27,e28,e97,e71,e89,e23,e14,e36,-1,e65,e81,e5,e59,e39,e61,e31,e24,e10,e43,e9,e88,e86,e3,e30,e64,e80,e99,e1,e62,e2,e16,e37,e54,e22,e15,e7,e96,-1,-1,e100,e58,-1,e66,-1,e98,,,,,,,,,,,,,,,,,
e96,e1,e43,e84,e16,e8,e80,e28,e72,e14,e36,e65,e52,e21,e27,e45,e57,e5,e98,e7,e66,e31,e51,e69,e88,e87,e99,e71,e26,e23,e82,e30,e17,e6,e74,e46,e44,e68,e13,e97,e34,e76,e53,e90,e92,e40,e63,e42,e77,e94,e9,e100,e29,e37,e19,e47,e78,e85,e79,e33,e41,e56,e24,e58,e2,e3,e50,e35,e15,e18,e10,e81,e89,e11,e62,e83,e86,e93,e54,e38,e49,e70,e60,e64,e20,e25,e12,e75,e32,e39,e55,e91,e59,e48,e95,e73,e4,e61,-1,e22,-1,-1,-1,-1,-1,e67,,,,,,,,,,,,,,,,
e55,e30,e17,e98,e33,e63,e21,e25,e83,e16,e26,e81,e72,-1,e70,e43,e47,e71,e36,e10,-1,e96,e95,e18,e3,e75,e42,e91,e84,e59,e99,e32,e29,e13,e40,e69,e6,e31,e1,e44,e100,e11,e86,e66,e53,e80,e23,e45,e76,e19,e37,e12,e39,e62,e64,e77,e94,e35,e46,e34,e15,e78,e82,e67,e61,e9,e4,e41,e20,e68,e27,e90,e2,e7,e57,e92,e54,e56,e14,e93,e85,e24,e38,e65,e73,e60,e22,e50,e79,e28,e89,e87,e48,e8,e52,e58,e88,e49,e51,e97,e74,e5,,,,,,,,,,,,,,,,,,,,
e77,e56,e92,e30,e61,e68,e100,e88,e94,e28,e54,e2,e59,e3,e51,e85,e55,e75,e9,e63,e87,e11,e36,e53,-1,e31,e90,e58,-1,e48,e24,e39,e62,e57,e6,e13,e95,e12,e82,e50,e18,-1,e97,e99,e79,e98,e10,e91,e14,e38,e33,e72,e89,e25,e42,e70,e7,e23,e35,e69,e17,e29,e74,e37,e43,e1,e15,e76,e46,e4,e96,e16,e20,e60,e19,e41,e40,e22,e80,e21,e52,e26,e34,e27,e49,e84,e81,e86,e64,e47,e67,e8,e66,e44,e45,e93,e32,e73,e71,e78,e83,e65,-1,-1,e5,,,,,,,,,,,,,,,,,
e18,e100,e9,e7,e98,e94,e64,e59,e22,e81,e80,e36,e29,e89,e10,e65,e70,e91,e49,e97,e23,e73,e39,e84,e21,e93,e56,e88,e48,e57,e60,e42,e40,e35,e12,e24,e38,e25,e6,e3,e46,e51,e69,e19,e43,-1,e53,e26,e8,e33,e76,e96,e78,e83,e13,e37,e14,e75,e28,e61,e87,e72,e15,e82,e74,e27,e52,e16,e63,e55,e44,e32,e5,e20,e34,e58,e79,e77,e50,e95,e66,e54,e17,e41,e90,e47,e31,e45,e2,e11,e30,e85,e1,e86,e99,e71,e62,e68,e92,-1,-1,-1,e67,e4,,,,,,,,,,,,,,,,,,
e75,e11,e7,e47,e93,e87,e56,e46,e92,-1,e66,e74,e9,e79,e80,e89,e54,e86,e68,e4,e64,e88,e44,e35,e16,e82,e17,e84,e94,e8,e72,e12,e78,e96,e34,e95,e26,e19,-1,-1,e58,e38,e5,e3,e62,e30,-1,e63,e42,e91,e20,e24,e32,e67,e73,e53,e27,e37,e65,e83,e28,e40,e45,e1,e48,e76,e77,e52,e51,e50,e60,e61,e99,e49,e98,e55,e31,e39,e57,e71,e33,e29,e21,e36,e97,e2,e41,e13,e81,e43,e10,e70,e18,e14,e85,e25,e22,e23,e15,e6,e90,e59,-1,-1,e69,e100,,,,,,,,,,,,,,,,
e98,e61,e74,e29,e22,e70,e85,e18,e12,e7,e24,e83,e46,e11,e53,e47,e50,e67,e41,e75,e88,e51,e94,e54,e44,e34,e84,e63,e32,e16,-1,e69,e95,e79,e26,e68,e57,e45,e81,e87,e4,e60,e55,e64,e2,e27,e62,e3,e33,e92,e48,e28,e71,e38,e43,e8,e77,e40,e39,e52,e73,e100,e91,e25,e15,e78,e1,e19,e5,e31,e36,e99,e9,e82,e93,e20,e90,e49,e59,e58,e72,e65,e14,e86,e89,e13,e37,e97,e10,e35,e42,e6,e80,e17,e30,e56,e66,e76,e23,e21,-1,-1,-1,-1,-1,-1,-1,e96,,,,,,,,,,,,,,
e97,e72,e15,e9,e82,e33,e98,e20,e79,e24,e46,e51,e42,e31,e11,e60,e76,e78,e99,e91,e28,-1,e16,e6,e22,e50,e64,e74,e68,e29,e12,e54,e32,e95,e94,e17,e23,e65,e2,e77,e56,e59,e14,e88,e34,e87,e93,e21,e40,e100,e92,e53,e30,e8,e86,e83,e48,e43,-1,e89,e70,e1,e69,e66,e35,e80,e45,e58,e13,e90,e71,e67,e55,e57,e75,-1,e96,e52,e5,e41,e4,e7,-1,-1,-1,e49,e18,e62,e44,e25,e81,e63,e19,e26,e27,e37,e3,e84,e38,e85,e39,e36,e61,e10,e47,e73,,,,,,,,,,,,,,,,
e47,e90,e6,e49,e54,e10,e36,e48,e18,e93,e91,e28,e73,e53,e68,-1,e45,-1,e63,e3,e13,e84,e4,e79,e17,e67,e61,e1,e81,e94,e77,e41,e37,e86,e39,e22,e64,-1,e55,e66,e89,e88,e44,e32,e24,e72,e65,e99,e30,e8,e5,e14,e52,e35,e60,e12,e21,e96,e83,e56,e95,e98,e70,e2,e100,e15,e7,e74,e92,-1,e69,-1,-1,-1,-1,-1,e76,e46,e78,e62,e71,e33,-1,e59,e29,e97,e87,e58,e50,e27,e51,e75,e82,e43,e25,e42,e16,e20,e40,e80,e11,e34,e31,e38,e9,e85,e19,e26,e57,e23,,,,,,,,,,,,
