83,18,61,13,51,40,3,32,49,48,0,0,0,0,0,0,0,0,0
91,45,44,48,46,63,37,59,62,75,0,0,0,0,0,0,0,0,0
31,61,25,62,30,74,51,71,13,3,0,0,0,0,0,0,0,0,0
100,16,83,96,44,80,23,77,32,3,0,0,0,0,0,0,0,0,0
60,11,17,76,50,67,32,57,47,23,0,0,0,0,0,0,0,0,0
67,59,20,92,7,87,79,13,72,49,0,0,0,0,0,0,0,0,0
70,56,5,33,98,29,65,8,61,74,0,0,0,0,0,0,0,0,0
17,14,35,77,48,95,19,21,83,78,0,0,0,0,0,0,0,0,0
81,80,3,10,15,86,34,53,46,37,0,0,0,0,0,0,0,0,0
94,34,85,72,28,86,62,76,39,16,0,0,0,0,0,0,0,0,0
98,72,23,12,34,45,33,35,18,82,0,0,0,0,0,0,0,0,0
73,32,18,77,27,16,24,98,51,78,0,0,0,0,0,0,0,0,0
5,4,50,96,36,48,70,90,75,58,0,0,0,0,0,0,0,0,0
70,36,92,50,100,71,3,10,11,89,0,0,0,0,0,0,0,0,0
89,31,14,74,51,99,55,45,41,10,0,0,0,0,0,0,0,0,0
64,96,10,57,48,14,54,42,33,89,0,0,0,0,0,0,0,0,0
10,86,89,20,57,27,99,76,60,79,0,0,0,0,0,0,0,0,0
75,54,7,99,31,39,67,81,27,24,0,0,0,0,0,0,0,0,0
96,38,29,81,68,88,3,54,53,61,0,0,0,0,0,0,0,0,0
97,98,57,58,59,89,100,19,52,51,0,0,0,0,0,0,0,0,0
79,65,21,52,35,82,55,31,68,45,0,0,0,0,0,0,0,0,0
7,95,74,29,72,56,39,70,93,46,0,0,0,0,0,0,0,0,0
61,89,11,69,8,58,19,56,36,82,0,0,0,0,0,0,0,0,0
14,83,30,61,90,13,97,73,36,34,0,0,0,0,0,0,0,0,0
38,91,44,21,37,98,58,69,95,89,0,0,0,0,0,0,0,0,0
1,24,46,72,52,6,100,2,30,78,0,0,0,0,0,0,0,0,0
50,10,32,34,37,100,60,76,9,18,0,0,0,0,0,0,0,0,0
52,6,99,51,30,93,92,29,80,46,0,0,0,0,0,0,0,0,0
72,94,93,16,85,81,9,60,99,74,0,0,0,0,0,0,0,0,0
33,73,94,3,47,35,6,8,10,51,0,0,0,0,0,0,0,0,0
77,3,26,73,24,20,9,28,66,74,0,0,0,0,0,0,0,0,0
32,36,40,57,94,18,17,2,51,61,0,0,0,0,0,0,0,0,0
80,33,38,3,89,72,74,78,100,82,0,0,0,0,0,0,0,0,0
6,88,26,78,15,32,80,23,85,48,0,0,0,0,0,0,0,0,0
55,53,41,31,15,49,44,70,24,33,0,0,0,0,0,0,0,0,0
45,56,27,32,68,49,21,75,19,7,0,0,0,0,0,0,0,0,0
35,21,25,75,95,14,88,51,28,18,0,0,0,0,0,0,0,0,0
57,60,86,7,31,30,90,53,8,74,0,0,0,0,0,0,0,0,0
66,55,19,47,82,70,31,68,72,77,0,0,0,0,0,0,0,0,0
51,39,67,82,97,69,32,94,12,10,0,0,0,0,0,0,0,0,0
71,41,91,94,45,54,48,85,35,31,0,0,0,0,0,0,0,0,0
2,16,66,78,19,26,49,41,57,93,0,0,0,0,0,0,0,0,0
24,12,23,94,41,7,21,90,2,78,0,0,0,0,0,0,0,0,0
