88,3,92,69,78,53,82,47,58,70,40,51,66,67,30,83,28,57,50,56,43,72,18,71,49,20,39,10,54,48,38,15,96,42,95,52,64,60,4,33,27,61,87,21,24,1,76,91,19,26,62,44,32,99,37,59,34,75,31,90,94,9,23,7,45,5,8,12,13,97,85,25,73,16,98,80,100,46,17,35,55,81,36,89,93,74,41,2,68,65,22,14,6,11,79,84,86,29,63,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,29,89,54,76,27,91,88,72,82,83,5,28,40,75,67,26,31,35,79,77,55,90,80,14,47,17,69,48,93,98,45,56,49,23,33,25,16,9,53,78,87,59,15,8,11,61,21,81,86,70,74,50,18,66,51,24,44,12,100,58,62,20,10,3,99,92,73,43,71,65,1,4,68,60,46,13,36,64,42,19,30,37,38,94,7,95,84,6,2,63,57,52,96,41,39,97,34,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,46,25,42,43,84,71,39,81,67,91,64,52,5,59,85,36,96,47,10,22,31,80,75,4,32,60,55,19,63,35,56,27,62,53,58,33,17,83,6,66,45,44,7,41,12,51,8,11,88,20,16,57,95,82,23,28,50,74,40,89,73,72,30,26,3,21,69,18,98,76,100,15,48,78,34,54,38,92,94,68,37,2,70,90,24,93,79,13,14,65,49,86,29,87,61,9,99,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,81,14,99,48,45,26,17,19,21,95,90,50,91,74,93,96,73,34,7,36,41,10,37,65,84,24,2,52,98,71,60,49,69,29,87,38,76,80,42,8,16,55,13,11,31,27,33,23,25,59,67,78,30,70,75,97,83,100,46,53,63,54,22,1,62,4,77,85,5,12,82,94,40,39,68,79,56,32,64,9,47,86,57,20,61,88,3,66,15,89,43,92,51,6,28,18,58,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,22,96,49,61,12,94,25,98,31,89,48,20,57,55,59,3,62,72,37,70,56,32,83,38,65,92,63,41,42,46,60,28,24,69,84,64,77,19,90,23,7,39,52,75,88,95,58,15,10,86,91,44,11,33,54,43,29,99,35,97,51,36,87,93,27,79,8,53,47,2,6,18,66,16,68,80,9,34,81,45,78,85,17,71,74,14,76,30,67,73,82,50,4,21,40,5,26,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,61,10,17,92,15,99,20,60,77,57,13,85,76,67,63,34,53,46,82,2,43,12,9,1,49,42,44,100,38,37,54,94,3,5,18,4,40,6,68,52,66,50,51,29,96,26,41,14,80,27,28,69,87,89,88,79,72,11,31,47,55,58,81,64,24,23,56,75,16,73,62,84,71,48,90,78,25,93,30,39,98,95,59,19,97,35,70,33,22,83,8,36,21,32,74,65,91,7,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,49,7,6,1,86,15,92,65,8,99,66,93,89,51,28,84,71,43,3,90,81,57,95,19,97,74,30,11,14,54,73,76,18,77,61,88,46,58,80,72,53,69,44,39,68,85,64,16,87,29,55,26,78,40,31,5,21,59,75,23,70,98,24,100,50,10,27,48,12,79,56,42,4,52,17,82,45,22,25,83,9,32,67,47,33,91,37,60,13,96,2,36,35,34,38,63,62,94,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,62,35,91,63,3,65,18,86,44,66,41,89,27,82,61,43,60,57,49,14,51,72,38,77,73,26,28,21,7,1,92,40,99,2,37,96,15,30,34,76,88,58,36,12,79,56,20,6,10,81,54,67,9,74,8,83,80,45,25,78,53,48,69,11,47,59,17,70,55,46,32,13,85,22,39,23,97,75,19,16,93,33,95,87,50,98,42,84,24,71,5,100,4,90,64,31,94,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,83,6,9,15,21,14,99,40,26,86,65,7,88,98,58,50,28,5,85,89,27,43,72,80,82,16,52,22,66,79,94,49,70,61,55,51,20,47,69,77,18,91,81,57,92,87,32,3,78,35,67,45,76,1,100,23,17,24,75,59,12,25,4,33,44,74,93,68,60,8,31,34,96,73,30,38,2,63,84,41,37,11,90,56,53,71,48,36,54,39,19,46,95,62,97,42,64,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,38,49,19,10,94,95,100,41,30,63,6,97,46,29,4,84,85,39,78,15,64,86,42,99,67,13,83,26,40,62,37,59,79,14,75,28,35,91,82,60,5,90,88,89,72,47,43,11,58,74,50,76,69,80,33,61,73,71,22,65,98,18,20,48,3,70,45,52,53,56,36,2,54,16,17,21,68,34,51,25,27,87,8,57,7,96,92,44,66,55,93,32,31,24,23,81,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7,55,24,39,56,78,53,51,22,76,37,62,8,9,23,91,34,83,12,71,5,25,11,52,87,19,97,96,100,81,68,95,38,16,65,31,41,63,32,74,4,80,50,54,67,86,36,30,73,2,49,42,21,35,66,44,84,70,61,15,82,79,20,88,48,58,47,28,57,72,18,92,3,17,13,27,43,40,99,26,1,14,60,33,94,46,89,93,6,75,85,90,77,64,69,45,59,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
