e16,-2,-2
e21,-2,-2
e5,-2,-2
-1,-1,-1
e60,-2,-2
e88,-2,-2
-1,-1,-1
e1,-2,-2
e70,-2,-2
-1,e79,-2
e63,-2,-2
e2,-2,-2
e94,-2,-2
-1,-1,-1
e53,-2,-2
e95,-2,-2
e59,-2,-2
e6,-2,-2
-1,-1,-1
e29,-2,-2
e78,-2,-2
-1,-1,-1
e98,-2,-2
e96,-2,-2
e8,-2,-2
-1,-1,-1
e67,-2,-2
e76,-2,-2
-1,e36,-2
e46,-2,-2
e30,-2,-2
e15,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
e3,-2,-2
-1,-1,e82
e24,-2,-2
e50,-2,-2
-1,-1,-1
-1,-1,-1
e25,-2,-2
e28,-2,-2
-1,e80,-2
e22,-2,-2
e47,-2,-2
e56,-2,-2
e9,-2,-2
-1,-1,e97
e17,-2,-2
e48,-2,-2
-1,e73,-2
e87,-2,-2
-1,e52,-2
e31,-2,-2
e39,-2,-2
e65,-2,-2
e12,-2,-2
e92,-2,-2
e57,-2,-2
-1,e71,-2
e14,-2,-2
-1,-1,-1
e11,-2,-2
-1,e90,-2
e20,-2,-2
-1,-1,-1
e26,-2,-2
e42,-2,-2
-1,e99,-2
e23,-2,-2
e41,-2,-2
e7,-2,-2
e33,-2,-2
e68,-2,-2
e72,-2,-2
-1,-1,e100
e49,-2,-2
e4,-2,-2
e34,-2,-2
e27,-2,-2
e40,-2,-2
e75,-2,-2
e10,-2,-2
e37,-2,-2
-1,e19,-2
e32,-2,-2
e43,-2,-2
e45,-2,-2
-1,-1,-1
e13,-2,-2
e83,-2,-2
-1,-1,-1
-1,-1,-1
e38,-2,-2
e61,-2,-2
e18,-2,-2
-1,-1,-1
-1,e69,-2
e93,-2,-2
