8,-2,-2
12,-2,-2
36,-2,-2
79,-2,-2
3,-2,-2
18,-2,-2
73,-2,-2
25,-2,-2
48,-2,-2
84,-2,-2
64,-2,-2
58,-2,-2
91,-2,-2
62,-2,-2
32,-2,-2
1,-2,-2
50,-2,-2
97,-2,-2
-1,86,-2
66,-2,-2
2,-2,-2
45,-2,-2
71,-2,-2
38,-2,-2
42,-2,-2
68,-2,-2
81,-2,-2
43,-2,-2
20,-2,-2
31,-2,-2
55,-2,-2
87,-2,-2
74,-2,-2
80,-2,-2
-1,-1,-1
-1,29,-2
85,-2,-2
95,-2,-2
56,-2,-2
82,-2,-2
72,-2,-2
69,-2,-2
88,-2,-2
-1,-1,-1
89,-2,-2
30,-2,-2
46,-2,-2
51,-2,-2
78,-2,-2
39,-2,-2
-1,-1,-1
-1,54,-2
15,-2,-2
-1,-1,-1
-1,-1,-1
47,-2,-2
60,-2,-2
-1,-1,-1
17,-2,-2
5,-2,-2
96,-2,-2
-1,-1,-1
11,-2,-2
-1,-1,-1
57,-2,-2
-1,-1,-1
27,-2,-2
75,-2,-2
-1,99,-2
9,-2,-2
-1,61,-2
76,-2,-2
-1,52,-2
-1,-1,-1
83,-2,-2
28,-2,-2
-1,-1,-1
21,-2,-2
-1,10,-2
-1,44,-2
-1,-1,-1
-1,-1,37
92,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
53,-2,-2
6,-2,-2
-1,-1,-1
-1,65,-2
-1,-1,-1
59,-2,-2
100,-2,-2
13,-2,-2
16,-2,-2
24,-2,-2
-1,-1,49
23,-2,-2
-1,70,-2
-1,-1,77
