1,-2,-2
25,-2,-2
19,-2,-2
-1,-1,-1
47,-2,-2
50,-2,-2
14,-2,-2
48,-2,-2
-1,-1,-1
28,-2,-2
46,-2,-2
-1,-1,-1
35,-2,-2
27,-2,-2
45,-2,-2
15,-2,-2
13,-2,-2
24,-2,-2
29,-2,-2
-1,39,-2
2,-2,-2
-1,-1,-1
22,-2,-2
4,-2,-2
32,-2,-2
10,-2,-2
23,-2,-2
6,-2,-2
43,-2,-2
17,-2,-2
38,-2,-2
11,-2,-2
37,-2,-2
-1,-1,-1
44,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
20,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
42,-2,-2
-1,-1,-1
5,-2,-2
34,-2,-2
-1,31,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
30,-2,-2
26,-2,-2
-1,-1,-1
41,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
40,-2,-2
-1,-1,-1
-1,-1,-1
7,-2,-2
-1,-1,-1
21,-2,-2
-1,33,-2
49,-2,-2
16,-2,-2
-1,-1,-1
-1,-1,-1
8,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
12,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
3,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
36,-2,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
