5,50,24,33,96,98,15,91,34,64,46,1,72,92,97,49,38,26,68,94,40,18,8,10,62,87,73,81,77,48,19,65,55,25,11,60,100,99,51,82,95,35,39,83,70,84,90,58,21,2,78,89,22,86,14,42,75,13,7,20,43,29,69,17,54,67,30,37,88,76,41,74,36,31,12,80,16,3,28,59,93,4,45,52,53,63,71,44,66,79,47,56,9,85,57,6,61,27,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,36,87,29,10,64,32,73,13,50,56,71,5,80,92,41,44,23,40,26,46,97,49,12,94,48,70,15,4,96,24,93,47,1,38,68,63,72,98,9,85,33,34,3,37,57,91,43,45,20,58,6,8,31,79,62,78,35,90,81,65,53,28,51,89,95,76,74,66,99,61,22,86,39,60,25,16,52,42,2,27,30,69,82,11,19,59,21,88,84,18,83,100,17,7,55,67,14,54,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,13,3,98,29,49,92,38,24,34,26,41,36,9,93,80,62,32,65,57,72,91,17,6,59,99,1,51,76,52,81,86,100,90,42,11,88,89,21,78,2,20,96,70,95,77,83,46,73,53,35,22,28,14,58,85,71,66,15,64,10,44,30,68,16,54,19,84,39,74,75,33,40,12,43,79,18,4,23,56,94,5,60,48,69,45,55,82,47,87,67,61,8,50,63,27,7,37,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,94,89,79,66,72,88,60,83,81,96,87,28,27,85,47,51,21,16,1,100,38,98,52,41,42,67,86,35,8,9,75,65,62,69,7,34,70,49,84,61,91,74,10,19,29,25,71,44,46,50,39,73,23,30,12,14,97,76,36,77,55,32,63,40,24,3,53,59,20,11,57,26,93,48,37,43,22,18,95,33,80,99,15,13,45,5,92,78,56,68,90,4,6,17,64,82,58,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,58,92,46,49,77,45,56,32,91,15,3,12,64,67,29,71,50,20,68,6,80,73,69,36,97,40,66,62,18,17,13,63,31,7,5,53,22,82,79,99,11,51,84,85,74,16,83,42,94,87,90,21,89,27,75,88,41,57,2,81,100,70,1,19,98,39,25,54,52,35,65,37,55,72,9,24,38,96,10,23,59,93,30,34,60,14,95,48,76,78,4,26,86,61,28,33,47,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,40,4,12,71,97,61,80,87,36,38,30,3,50,26,93,76,73,45,22,90,32,91,14,98,74,46,68,24,56,62,67,15,58,92,43,48,19,33,21,51,100,63,60,82,35,42,54,83,84,95,88,79,86,78,89,99,52,16,8,27,66,2,37,17,69,59,75,25,39,57,77,13,20,6,11,23,47,96,55,81,34,9,44,65,94,18,49,72,70,85,5,31,7,64,1,29,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,72,49,26,93,45,13,68,77,32,24,34,44,48,85,64,63,91,92,50,23,40,80,70,36,12,97,98,73,71,33,3,29,46,10,15,56,41,100,62,11,8,61,67,31,6,27,18,79,28,7,82,53,69,19,84,60,51,16,54,25,14,66,86,58,95,30,83,37,39,43,88,2,22,38,42,4,87,75,65,94,57,35,78,21,96,17,99,89,76,59,52,74,20,5,47,81,55,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,68,56,23,27,48,46,15,11,100,40,9,45,96,64,44,3,97,92,34,87,57,72,47,12,52,91,38,32,94,5,93,80,13,62,4,18,6,8,17,61,59,55,25,82,66,74,69,81,28,42,78,79,35,83,14,20,39,86,88,99,95,89,85,53,2,76,29,58,71,43,37,21,63,67,1,70,10,41,84,36,60,30,19,22,24,16,98,26,77,51,54,73,31,7,90,65,33,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,23,93,44,97,32,80,12,3,92,51,60,58,19,82,88,78,73,36,89,95,24,91,15,75,2,99,50,46,42,16,83,66,13,17,54,1,63,18,48,20,8,56,45,21,49,86,64,28,67,40,29,61,62,31,25,100,37,55,52,85,59,74,11,90,43,79,84,10,4,69,53,27,87,70,57,34,41,30,9,14,47,76,98,39,71,38,26,22,77,96,81,35,94,72,6,65,33,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,33,41,85,98,70,96,53,7,72,57,74,63,30,38,34,90,84,5,61,77,1,24,14,71,26,69,76,39,36,55,37,20,79,67,43,62,35,47,59,29,73,25,22,94,87,81,4,9,31,8,65,18,10,17,100,82,66,28,60,78,58,54,75,83,44,86,91,92,21,27,99,48,2,49,42,88,11,12,46,51,68,89,15,45,56,13,93,19,3,16,95,97,23,52,50,80,32,64,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,94,88,7,66,82,41,31,84,14,33,90,85,38,71,16,83,42,1,60,61,86,27,53,28,10,95,18,54,59,87,22,79,26,8,39,47,77,96,55,4,25,98,72,69,62,76,5,2,65,9,74,67,30,99,17,70,19,51,89,100,34,21,11,57,78,45,29,43,49,32,35,56,93,68,64,46,15,37,3,36,23,13,50,40,97,80,92,12,44,63,58,24,6,52,20,73,81,48,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
