14,4,30,10,47,12,26,19,40,36,34,29,9,35,25,39,31,49,45,16,2,1,11,32,13,17,5,46,8,7,24,6,33,44,48,50,23,22,20,43,15,28,27,21,41,37,3,38,42,18
20,33,22,10,49,4,14,2,36,29,48,15,21,42,26,44,24,34,37,27,43,32,31,13,17,50,7,47,5,45,8,23,46,28,11,39,3,6,35,38,40,25,12,41,30,1,9,16,18,19
15,3,29,11,47,12,26,21,39,36,33,31,9,35,24,37,30,49,45,17,2,1,10,34,16,14,5,46,8,6,25,7,32,43,48,50,23,22,19,41,13,28,27,18,42,40,4,38,44,20
15,5,32,8,49,7,22,11,41,36,42,29,10,38,24,44,33,48,46,19,6,1,16,30,12,26,3,47,4,13,18,9,37,40,45,50,14,17,23,43,21,31,27,25,39,28,2,34,35,20
15,5,32,9,49,7,22,13,42,36,41,29,10,38,24,43,33,48,46,18,6,1,14,30,12,26,3,47,4,11,19,8,37,40,45,50,16,17,23,44,21,31,27,25,39,28,2,34,35,20
15,17,32,7,50,4,16,5,39,36,47,23,14,42,25,44,34,46,45,22,20,8,21,24,12,40,1,49,2,26,10,13,43,37,31,48,6,9,29,41,28,33,19,35,38,11,3,27,30,18
15,7,32,6,50,5,21,10,42,36,45,28,12,40,23,44,33,48,46,19,8,1,16,30,13,29,3,47,4,18,17,9,37,39,41,49,11,14,24,43,22,31,26,27,38,25,2,34,35,20
17,26,27,9,50,4,12,2,39,33,48,15,20,43,24,44,30,41,42,25,34,23,28,14,13,49,6,47,3,38,10,22,46,32,16,45,5,8,31,40,36,29,11,37,35,1,7,19,21,18
16,17,32,7,50,4,13,5,39,36,47,20,15,41,25,44,34,46,43,24,22,11,23,21,12,42,1,49,2,30,10,14,45,37,28,48,6,8,31,40,29,33,18,35,38,9,3,26,27,19
15,3,31,14,42,18,23,24,37,36,28,34,10,33,21,35,30,48,45,13,2,1,9,38,16,8,7,44,11,4,26,6,27,41,50,49,25,22,19,39,12,29,32,17,40,47,5,43,46,20
14,24,28,9,50,4,12,2,39,34,47,16,17,43,27,44,30,42,41,25,31,18,26,15,11,48,3,49,1,36,10,20,45,35,21,46,6,8,32,40,33,29,13,38,37,5,7,22,23,19
16,10,32,6,50,5,18,7,40,37,46,26,14,41,25,44,33,47,45,21,15,4,20,27,12,35,1,48,3,22,13,11,42,38,36,49,8,9,28,43,24,31,23,29,39,17,2,30,34,19
15,16,32,7,50,4,17,5,39,36,47,23,14,42,25,44,34,46,45,22,20,8,21,24,12,40,1,49,2,26,10,13,43,37,31,48,6,9,29,41,28,33,19,35,38,11,3,27,30,18
18,29,25,10,50,5,12,2,37,32,48,16,21,44,24,45,27,39,41,26,36,23,30,15,13,49,6,47,3,42,9,22,46,31,14,43,4,7,34,40,35,28,11,38,33,1,8,17,20,19
16,15,31,6,50,4,17,5,40,36,46,23,14,42,25,44,34,47,45,22,19,8,21,24,12,39,1,49,3,26,10,13,43,37,35,48,7,9,29,41,27,32,20,33,38,11,2,28,30,18
15,3,29,11,47,12,26,21,38,36,33,31,9,35,24,37,30,49,45,17,2,1,10,34,16,14,5,46,8,6,25,7,32,43,48,50,23,22,19,41,13,28,27,18,42,40,4,39,44,20
15,5,32,8,49,7,22,11,41,36,42,29,10,38,24,44,33,48,46,19,6,1,16,30,12,26,3,47,4,13,18,9,37,40,45,50,14,17,23,43,21,31,27,25,39,28,2,34,35,20
20,33,22,10,49,4,14,2,36,29,48,15,21,43,25,44,24,34,37,27,42,32,31,13,17,50,7,47,5,45,8,23,46,28,11,40,3,6,35,38,39,26,12,41,30,1,9,16,18,19
14,6,32,9,48,8,22,15,41,36,39,28,11,38,26,43,33,49,45,17,4,1,12,31,13,24,3,47,5,10,20,7,35,42,46,50,16,18,23,44,19,30,27,25,40,29,2,34,37,21
15,3,30,11,47,14,26,22,38,36,32,33,10,35,23,37,29,49,45,16,2,1,9,34,17,12,5,46,8,6,25,7,31,42,48,50,24,21,19,39,13,27,28,18,41,43,4,40,44,20
14,5,32,9,48,8,23,15,40,36,39,28,11,38,26,43,33,49,45,16,4,1,12,31,13,22,3,47,6,10,21,7,35,42,46,50,17,18,24,44,19,29,27,25,41,30,2,34,37,20
15,6,32,9,49,7,22,13,42,36,41,29,10,38,24,43,33,48,46,18,5,1,14,30,12,26,3,47,4,11,19,8,37,40,45,50,16,17,23,44,20,31,27,25,39,28,2,34,35,21
14,19,29,7,50,4,13,5,39,36,48,20,15,41,27,43,33,45,42,23,25,11,22,21,12,46,2,49,1,34,10,16,44,37,26,47,6,9,31,40,30,32,17,35,38,8,3,24,28,18
15,17,32,7,50,4,16,5,39,36,47,22,14,42,25,45,34,46,44,23,20,9,21,24,12,40,1,49,2,27,11,13,43,37,31,48,6,8,30,41,28,33,19,35,38,10,3,26,29,18
15,6,32,9,49,8,22,14,42,36,39,29,10,38,24,43,33,48,46,18,5,1,13,30,12,26,3,47,4,11,19,7,37,41,45,50,16,17,23,44,20,31,27,25,40,28,2,34,35,21
14,24,28,9,50,3,12,2,39,34,47,16,17,43,26,44,30,42,41,25,31,19,27,15,11,48,5,49,1,37,10,20,46,35,21,45,6,8,32,40,33,29,13,38,36,4,7,22,23,18
16,10,32,6,50,5,17,7,40,37,45,26,14,41,25,44,33,47,46,21,15,4,19,28,12,35,1,48,3,22,13,11,42,38,36,49,8,9,27,43,24,31,23,29,39,18,2,30,34,20
14,4,30,11,47,12,26,19,40,36,34,29,9,35,25,39,31,49,45,16,2,1,10,32,13,17,5,46,8,7,24,6,33,44,48,50,23,22,21,42,15,28,27,20,41,37,3,38,43,18
15,6,32,9,49,7,22,13,42,36,40,29,10,38,24,43,33,48,46,18,5,1,14,30,12,26,3,47,4,11,19,8,37,41,45,50,16,17,23,44,20,31,27,25,39,28,2,34,35,21
14,5,30,9,48,10,25,17,40,36,37,28,11,38,26,41,31,49,45,15,3,1,12,32,13,20,4,46,6,8,22,7,34,43,47,50,18,19,23,44,16,29,27,24,42,33,2,35,39,21
