e27,e28,e20,e96,e66,e85,e12,e31,e83,e8,e65,e3,e16,e76,e90,e44,e87,e4,e53,e36,e73,e40,e41,e17,e91,e77,e25,e1,e69,e23,e98,e60,e26,e59,e86,e34,e45,e56,e11,e82,e24,e14,e62,e13,e58,e50,e61,e89,e99,e37,e32,e43,e9,e54,e15,e67,e46,e21,e71,e64,e10,e5,e88,e39,e95,e93,e38,e78,e79,e30,e97,e19,e92,e49,e18,e94,e84,e52,e68,e63,e29,e74,e72,e70,e33,e100,e47,e80,e75,e2,e7,e48,e22,e81,e35,e51,e55,e57,e6,e42,,,,,,,,,,
e96,e29,e28,e68,e11,e18,e23,e8,e85,e15,e69,e80,e37,e3,e89,e74,e51,e72,e86,e35,e40,e77,e5,e91,e21,e98,e1,e20,e48,e61,e31,e56,e27,e83,e36,e55,e87,e12,e43,e14,e54,e16,e67,e58,e99,e24,e50,e53,e90,e62,e33,e26,e100,e13,e59,e63,e47,e65,e17,e10,e64,e76,e44,e9,e39,e79,e93,e97,e46,e22,e92,e30,e84,e19,e88,e95,e71,e60,e94,e2,e32,e78,e81,e4,e52,e70,e34,e49,e73,e25,e42,e75,e38,e41,e45,-1,e6,e82,-1,e66,e57,-1,-1,-1,-1,-1,-1,-1,e7,
e20,e98,e39,e51,e52,e63,e28,e29,e48,e87,e55,e6,e92,e82,e9,e16,e57,e85,e4,e79,e76,e62,e33,e32,e94,e17,e7,e72,e80,e99,e67,e86,e18,e91,e27,e69,e75,e58,e24,e61,e45,e47,e37,e11,e19,e3,e38,e1,e56,e44,e53,e35,e65,e36,e5,e78,e25,e97,e34,e90,e74,e50,e30,e73,e8,e40,e88,e70,e81,e95,e21,e89,e26,e93,e66,e96,e100,e42,e54,e68,e10,e43,e84,e64,e23,e31,e46,e2,e60,e41,e83,e22,e14,e59,e15,e13,e77,-1,e49,-1,e12,-1,-1,-1,-1,-1,-1,e71,,
e26,e97,e31,e66,e35,e21,e14,e15,e87,e7,e83,e63,e47,e1,e4,e3,e81,e90,e54,e86,e34,e72,e46,e19,e25,e91,e37,e79,e99,e71,e62,e23,e17,e61,e84,e98,e33,e59,e12,e13,e82,e45,e29,e55,e56,e36,e11,e48,e85,e60,e41,e38,e16,e9,e70,e52,e100,e43,e28,e73,e67,e88,e39,e10,e96,e5,e94,e92,e40,e80,e93,e75,e20,e27,e51,e24,e89,e95,e65,e53,e2,e64,e22,e68,e74,e69,e78,e30,e44,e42,e49,e77,e8,e18,e76,e32,e50,e58,e57,e6,,,,,,,,,,
e50,e15,e66,e34,e60,e75,e38,e27,e24,e80,e91,e26,e20,e5,e88,e42,e33,e79,e47,e11,e2,e17,e67,e23,e84,e29,e56,e82,e16,e1,e78,e30,e52,e40,e99,e43,e58,e74,e95,e44,e31,e28,e89,e65,e92,e87,e3,e76,e77,e21,e6,e19,e54,e97,e83,e32,e13,e64,e94,e37,e4,e96,e55,e61,e86,e49,e51,e8,e100,e71,e36,e10,e70,e14,e53,e25,e39,e68,e85,e41,e7,e73,e46,e72,e93,e35,e63,e59,e48,e69,e22,e45,e9,e57,e81,e98,e12,e62,e18,-1,-1,-1,-1,e90,,,,,,
e22,e41,e62,e43,e88,e20,e97,e6,e89,e61,e4,e18,e50,e86,e87,e24,e82,e3,e58,e29,e72,e51,e25,e27,e92,e76,e33,e99,e75,e12,e64,e83,e67,e1,e17,e32,e81,e45,e60,e49,e13,e8,e16,e40,e53,e96,e28,e44,e80,e54,e46,e48,e7,e47,e38,e11,e21,e70,e84,e34,e85,e69,e35,e98,e5,e37,e91,e93,e78,e73,e94,e23,e19,e57,e59,e56,e31,e100,e90,e95,e66,e14,e63,e74,e79,e68,e2,e39,e30,e52,e77,e10,e15,e36,e26,e42,e65,e55,e9,-1,-1,-1,e71,,,,,,,
e16,e48,e72,e32,e63,e23,e2,e10,e92,e81,e74,e19,e33,e31,e26,e36,e4,e41,e89,e75,e51,e27,e73,e21,e82,e58,e18,e86,e70,e52,e20,e1,e99,e56,e30,e80,e44,e40,e29,e95,e88,e25,e64,e84,e38,e22,e91,e8,e3,e76,e17,e47,e62,e69,e34,e12,e98,e83,e9,e5,e39,e97,e11,e59,e60,e87,e55,e77,e94,e50,e100,e35,e68,e53,e28,e78,e43,e85,e6,e93,e45,e67,e14,e71,e37,e65,e42,e57,e66,e24,e46,e49,e7,e90,e54,e79,e96,e13,e15,e61,,,,,,,,,,
e10,e31,e91,e22,e83,e72,e13,e17,e67,e32,e94,e5,e75,e88,e64,e53,e11,e24,e65,e48,e26,e2,e74,e45,e87,e59,e43,e96,e20,e46,e1,e49,e38,e30,e92,e51,e23,e36,e82,e19,e9,e76,e18,e62,e66,e42,e68,e16,e70,e61,e97,e21,e55,e27,e52,e14,e44,e93,e58,e4,e98,e47,e99,e12,e100,e86,e95,e39,e8,e79,e73,e25,e34,e77,e15,e89,e35,e90,e78,e50,e84,e56,e40,e63,e57,e3,e41,e33,e69,e6,e85,e80,e81,e54,e37,e29,e28,-1,e60,-1,-1,e7,-1,e71,,,,,,
e33,e90,e19,e11,e8,e16,e81,e76,e61,e74,e30,e24,e6,e93,e57,e17,e44,e59,e1,e91,e63,e22,e87,e67,e96,e70,e36,e39,e34,e18,e51,e2,e23,e45,e43,e49,e21,e95,-1,e20,e7,e78,e38,e82,e54,e64,e75,e66,e98,e72,e25,e73,e32,e55,e27,e99,e15,e46,e53,e50,e41,e10,e13,e68,e12,e84,e77,e94,e88,e37,e4,e28,e31,e71,e100,e92,e97,e79,e89,e48,e14,e52,e47,e85,e3,e56,e69,e40,e58,e29,e80,e65,e5,e26,e86,e35,e60,e9,-1,e83,e42,-1,-1,-1,e62,,,,,
e60,e45,e14,e1,e46,e13,e50,e57,e10,e79,e75,e33,e4,e81,e44,e23,e28,e80,e21,e84,e39,e12,e40,e36,e53,e31,e92,e58,e7,e47,e90,e35,e24,e64,e95,e94,e67,e66,e48,e41,e43,e38,e2,e93,e68,-1,e78,e97,e100,e77,e5,e98,e74,e19,e26,e87,e86,e25,e73,e16,e32,e3,e91,e70,e9,e8,e29,e88,e72,e56,e42,e54,e61,e51,e63,e22,e18,e15,e52,e83,e49,e37,e20,e82,e96,e27,e59,e65,e76,e55,e17,e11,e34,e85,e69,e89,e30,e6,-1,e99,e62,-1,-1,-1,-1,-1,e71,,,
e52,e66,e35,e15,e59,e40,e27,e12,e75,e26,e80,e21,e5,e87,e24,e33,e47,e91,e42,e78,e17,e30,e85,e54,e2,e67,e81,e23,e1,e16,e79,e29,e53,e39,e74,e58,e32,e28,e3,e96,e89,e88,e99,e92,e76,e44,e77,e20,e6,e19,e56,e97,e83,e65,e43,e31,e64,e94,e4,e7,e37,e95,e61,e13,e10,e51,e84,e50,e69,e38,e55,e49,e36,e68,e70,e86,e25,e41,e8,e73,e93,e72,e34,e48,e46,e14,e100,e63,e45,e60,e57,e9,e98,e22,e11,e82,e62,e71,-1,e18,-1,e90,,,,,,,,
e54,e55,e16,e39,e13,e53,e48,e18,e27,e1,e88,e75,e80,e24,e32,e11,e29,e40,e85,e81,e45,e14,e26,e33,e59,e50,e87,e73,e10,e2,e83,e25,e56,e62,e72,e37,e98,e96,e46,e34,e36,e44,e3,e90,e93,e97,e4,e63,e76,e20,e95,e68,e19,e86,e28,e77,e70,e5,e91,e15,e7,e35,e6,e67,e78,e92,e49,e42,e52,e60,e69,e57,e43,e23,e58,e17,e30,e47,e38,e84,e12,e79,e100,e94,e31,e64,e66,e74,e22,e51,e41,e89,e82,e9,e71,e61,e8,e99,e65,e21,,,,,,,,,,
e62,e42,e1,e50,e14,e46,e58,e33,e13,e9,e27,e4,e81,e51,e74,e29,e78,e18,e79,e39,e88,e38,e10,e37,e52,e92,e44,e55,e91,e7,e22,e66,e31,e35,e93,e64,e48,e2,e69,e94,e47,e40,e68,e97,e43,e80,e95,e98,e5,e25,e75,e20,e82,e87,e77,e21,e73,e17,e3,e30,e70,e89,e8,e100,e11,e85,e67,e26,e57,e41,e53,e60,e65,e54,e23,e45,e16,-1,e15,e49,e83,e36,e28,e24,e59,e84,e96,e61,e72,e76,e56,e19,e12,e34,e99,e90,e63,e86,e71,e32,e6,,,,,,,,,
e12,e53,e2,e62,e74,e37,e56,e42,e25,e22,e79,e1,e27,e90,e16,e26,e8,e87,e32,e80,e46,e23,e30,e41,e17,e66,e86,e52,e78,e14,e81,e28,e54,e98,e96,e59,e73,e43,e38,e45,e33,e31,e94,e3,e89,e91,e76,e18,e20,e100,e57,e5,e97,e68,e84,e29,e69,e77,e6,e13,e92,e7,e36,e95,e61,e48,e83,e51,e49,e67,e70,e55,e39,e24,e4,e85,e15,e35,e47,e65,e40,e75,e10,e60,e34,e93,e72,e50,e21,e44,e71,e64,e58,e82,e9,e88,e99,e11,e19,e63,,,,,,,,,,
